timestamp Publish, tr, ID, Distance from acoustic Simulator, calculated Distance at tr, Error = dist_acoustic- dist_atTimestampt_tr
0.8149333926259625,0.36437339262596247,1,51.440586938858786,51.52249853267569,-0.08191159381690483
1.514818273245392,1.064258273245392,2,51.44831770104776,51.34723540816032,0.10108229288744042
2.177328530393165,1.726768530393165,3,25.394171631097,25.07070447812166,0.3234671529753399
2.878006194519682,2.4274461945196824,4,25.83245703178378,26.095234195048832,-0.26277716326505285
3.8151705314109297,3.36461053141093,1,51.835973973810745,51.878417748760455,-0.04244377494971019
4.514565139222029,4.064005139222028,2,50.97237244478656,50.967190136710286,0.0051823080762716245
5.176842641787409,4.726282641787408,3,24.66636053096044,24.339514642828227,0.3268458881322118
5.878502379163115,5.427942379163115,4,26.57079510714157,26.84164853124757,-0.2708534241060008
6.815396618648176,6.364836618648176,1,52.20648826910634,52.21774333167936,-0.01125506257302078
7.514301241755534,7.063741241755534,2,50.626310103286244,50.57098333557989,0.055326767706354474
8.176362933888322,7.725802933888323,3,23.811834145453503,23.617487786598275,0.19434635885522766
8.879001135355482,8.428441135355483,4,27.36165995371064,27.59181102270087,-0.23015106899023152
9.815611550033239,9.36505155003324,1,52.496849079842576,52.54031928276305,-0.04347020292047432
10.514026705725449,10.06346670572545,2,50.203759317575134,50.158801804325364,0.04495751324976993
11.175890699851827,10.725330699851828,3,23.29946542223098,22.906563836088353,0.39290158614262793
11.87950157909156,11.42894157909156,4,28.03014975130924,28.344400213251102,-0.3142504619418638
12.815815226990875,12.365255226990875,1,52.84595075597575,52.84599816597147,-4.740999572305782e-05
13.513741662084941,13.063181662084942,2,49.87155274319274,49.73084141393752,0.14071132925521823
14.17542735415298,13.72486735415298,3,22.550326600929814,22.208866676830635,0.3414599240991798
14.880002896220288,14.429442896220289,4,28.825389271851925,29.098199614900295,-0.27281034304836993
15.816007556617139,15.36544755661714,1,53.128982965285694,53.13464102256604,-0.0056580572803497375
16.513446247968805,16.062886247968805,2,49.28899182390068,49.28730726653235,0.0016845573683283988
17.880504335167256,17.429944335167256,4,29.5967800339558,29.852086666031052,-0.2553066320752535
18.81618845162788,18.36562845162788,1,53.551025975071575,53.40611729528729,0.14490867978428668
19.51314060681457,19.06258060681457,2,48.82744865671432,48.82841387444163,-0.0009652177273125062
20.17453365620402,19.72397365620402,3,21.21121105509397,20.862667684134383,0.348543370959586
20.881005200409014,20.430445200409014,4,30.342329243503556,30.60502285134644,-0.2626936078428841
21.816357830313013,21.365797830313014,1,53.60635499089092,53.6603047610623,-0.053949770171378475
22.512824888498187,22.062264888498188,2,48.429874734314765,48.354385361007395,0.07548937330737004
23.174106832339998,22.72354683234,3,20.466980650902315,20.21947862169352,0.24750202920879616
23.881504846652884,23.430944846652885,4,31.09513827515206,31.356044903253235,-0.26090662810117493
24.81651561649596,24.36595561649596,1,53.96629491301875,53.89708947137336,0.06920544164538711
25.51249924948607,25.06193924948607,2,48.15452628695607,47.865455685672636,0.2890706012834343
26.173695968214695,25.723135968214695,3,19.835350061695873,19.600165561788806,0.23518449990706713
26.88200267366232,26.43144267366232,4,31.866465522289133,32.10425699375817,-0.23779147146903767
27.81666173949779,27.36610173949779,1,54.0864140230391,54.11636569951341,-0.02995167647431174
28.51216385300544,28.06160385300544,2,47.497807911633295,47.36186889628796,0.13593901534533614
29.173303218908796,28.722743218908796,3,19.280974392812272,19.00798426009904,0.27299013271323247
29.892499768591026,29.441939768591027,4,32.64011120785546,32.851298730492786,-0.21118752263732432
30.816796134105502,30.366236134105502,1,54.48439795421123,54.31803589403996,0.16636206017127364
31.5018200349126,31.051260034912602,2,46.99084002830229,46.84562967794512,0.14521035035716778
32.172930893765006,31.722370893765007,3,18.70801512880711,18.446428756819596,0.2615863719875122
32.892992303727745,32.44243230372774,4,33.44934874811565,33.59142341600942,-0.1420746678937661
33.82691912945764,33.37635912945764,1,54.664573835430495,54.50259420318216,0.16197963224833245
34.51146447551973,34.06090447551973,2,46.44414078087362,46.31175233991693,0.13238844095668867
35.182580319839694,34.73202031983969,3,18.089503356076662,17.91751728542842,0.17198607064824145
35.9034830686603,35.4529230686603,4,34.06934536202499,34.32882822335627,-0.2594828613312785
36.827029853805875,36.37646985380587,1,54.72919469490302,54.66873279460026,0.06046190030276222
37.511100856608635,37.06054085660863,2,45.900875708806545,45.76576383131025,0.13511187749629272
38.182256402286775,37.73169640228677,3,17.666747601241802,17.428673794276396,0.23807380696540648
38.90396834047838,38.453408340478376,4,34.87888479362861,35.05792418139316,-0.1790393877645542
39.827128686500274,39.37656868650027,1,54.871183597898195,54.81702113411737,0.0541624637808269
40.510728204925336,40.06016820492533,2,45.300917907992435,45.206201479500045,0.09471642849239004
41.18196058592514,40.73140058592514,3,17.18934484003418,16.982109181157327,0.20723565887685425
41.90444932171525,41.453889321715245,4,35.54575429003815,35.78052290830192,-0.2347686182637716
42.82721558396321,42.376655583963206,1,54.884312781983745,54.947394036653286,-0.06308125466954095
43.51034672086627,43.05978672086627,2,44.7750286402097,44.63336476740466,0.14166387280504011
44.17169637664008,43.721136376640075,3,16.793882371240738,16.583151793768035,0.2107305774727024
44.90492560291634,44.45436560291634,4,36.38380690451101,36.496013544781576,-0.11220664027056415
45.82729050797467,45.37673050797467,1,55.084837451193295,55.05979433350042,0.02504311769287426
46.50995661314339,46.059396613143385,2,44.1134413716471,44.04756556929036,0.06587580235673585
47.17146463471804,46.72090463471804,3,16.4129021184204,16.23314061365803,0.17976150476237152
