timestamp Publish, tr, ID, Distance from acoustic Simulator
1.1412470829811812,0.3212470829811812,1,16.044567056359455
1.8600977232502398,1.04009772325024,2,28.57922326975489
2.601654530459485,1.7816545304594853,3,59.12913630736306
3.2979440567690883,2.4779440567690885,4,53.718487525001876
4.641132477903518,3.8211324779035185,1,15.84419421645523
5.360340972829147,4.540340972829147,2,29.034019520421758
6.112421754970449,5.292421754970449,3,60.32579600021912
6.798624893238781,5.978624893238781,4,54.75616295445312
8.141211186760685,7.321211186760685,1,16.106670793656875
8.860461852749893,8.040461852749893,2,29.17652469992806
9.612948421922178,8.792948421922178,3,61.1125137839652
10.29918608317675,9.47918608317675,4,55.84168266067026
11.641364342697063,10.821364342697063,1,16.182176936749492
12.360343016367072,11.540343016367071,2,29.03620654080496
13.11299978523447,12.29299978523447,3,61.279176842363505
13.799201643405992,12.979201643405991,4,55.976274034114915
15.141294543604703,14.321294543604703,1,16.248809013929375
15.860589644517802,15.040589644517802,2,29.33325662423971
16.613229091576102,15.793229091576102,3,61.584856568875914
17.299138088176093,16.479138088176093,4,55.96498538232641
18.640430101227174,17.820430101227174,1,15.00798683187714
19.361595447438123,18.541595447438123,2,30.622790091445626
20.11372320779885,19.29372320779885,3,62.22412033718267
20.79878388811239,19.97878388811239,4,55.507236188687706
22.139393538232262,21.319393538232262,1,13.476501706185207
22.872658921442703,22.052658921442703,2,31.987016750000926
23.614369541319853,22.794369541319853,3,62.966260813114964
24.29870127921504,23.47870127921504,4,55.3715739440188
25.63851085097659,24.81851085097659,1,12.250915371933564
26.37364407265015,25.55364407265015,2,33.560587610286824
27.115017852192782,26.29501785219278,3,64.07546262669652
27.798664179024748,26.978664179024747,4,55.3061948775616
29.137870628689768,28.317870628689768,1,11.2250708480181
29.874196713632905,29.054196713632905,2,34.485812146080505
30.61541045657913,29.79541045657913,3,64.69870151058852
31.298981090043416,30.478981090043415,4,55.4203385258094
32.638045596958946,31.818045596958946,1,11.502622433719072
33.37422641431196,32.55422641431196,2,34.75407998084363
34.11567461362369,33.29567461362369,3,65.12651588327086
34.799232491050816,33.979232491050816,4,55.850069382298386
36.13817939676749,35.31817939676749,1,11.567233318265165
36.874285963773744,36.054285963773744,2,34.5905734853238
37.61584698345405,36.79584698345405,3,65.38377608038361
38.29944307278423,37.47944307278423,4,56.279163816403916
39.6381205897224,38.8181205897224,1,11.493576427793043
40.3745388306584,39.5545388306584,2,34.90060754810428
41.1161674541108,40.2961674541108,3,65.59196105058506
41.79934030140115,40.97934030140115,4,56.134483472753715
43.13742646891861,42.31742646891861,1,10.568566858947188
43.875246936448164,43.055246936448164,2,35.83012394128601
44.616450063892806,43.796450063892806,3,66.20263220811493
45.299274756859404,44.479274756859404,4,56.0044172832196
46.63735720372162,45.81735720372162,1,10.475362326908357
47.37519507017777,46.55519507017777,2,36.15626333133319
48.11605853206255,47.29605853206255,3,65.93210596779669
48.79867515962355,47.97867515962355,4,55.531462773404876
50.13690306186147,49.31690306186147,1,9.907178093257688
50.875051911820904,50.055051911820904,2,35.848807302531746
51.61509290417354,50.795092904173536,3,64.67601727602116
52.29756330448952,51.47756330448952,4,54.052612782855974
53.636492081195755,52.816492081195754,1,9.238284900232443
54.37508339592849,53.55508339592849,2,35.701184153423405
55.11441548932537,54.29441548932537,3,63.689779568998695
55.79662876513058,54.97662876513058,4,52.74255197860789
57.8751690197272,57.0551690197272,2,35.899670424827086
58.61375236056451,57.79375236056451,3,62.83263771562639
59.29574557669838,58.47574557669838,4,51.41782992602288
60.63601492957287,59.81601492957287,1,8.584463783064091
61.37519235245691,60.555192352456906,2,35.92058797068618
62.11291232078128,61.29291232078128,3,61.56514998659176
62.794718701538955,61.974718701538954,4,50.10382292691854
64.13607532751502,63.31607532751502,1,8.608455728995766
64.87521386717455,64.05521386717456,2,35.96230921390656
65.61261971733124,64.79261971733125,3,60.87857375630207
66.294523225858,65.47452322585801,4,49.24445520743329
67.64588692306603,66.82588692306604,1,8.533734263523245
68.38551726680846,67.56551726680847,2,36.30433573728565
69.12240348232808,68.30240348232809,3,60.65478799979186
69.803805128756,68.983805128756,4,48.68219161726867
71.14610236393766,70.32610236393766,1,8.694098023808563
71.88557311441078,71.06557311441078,2,36.53085114757609
72.62156988381703,71.80156988381704,3,59.73933946572052
73.30274821915509,72.4827482191551,4,47.28580877362398
74.64657747693771,73.82657747693771,1,9.333302518798872
75.38569294259253,74.56569294259253,2,36.547773638645396
76.11072636804334,75.29072636804335,3,58.43493613632808
76.80163993941885,75.98163993941886,4,45.71842013214157
78.14708735182937,77.32708735182938,1,9.956946792326882
78.8858861459636,78.0658861459636,2,36.863478459770874
79.60996378031068,78.78996378031069,3,57.40490370816398
80.29066553089221,79.47066553089222,4,44.241798098296364
81.64765147818359,80.8276514781836,1,10.825861494034731
82.38617559834678,81.56617559834679,2,37.29879659836517
83.10926123820235,82.28926123820236,3,56.289048979404605
83.78960095134295,82.96960095134295,4,42.69130505250596
85.148319500932,84.32831950093201,1,11.844988697602602
85.88650181638735,85.06650181638736,2,37.65922212300576
86.60856628977068,85.78856628977069,3,55.27767419848438
87.28863325413124,86.46863325413125,4,41.484516921937725
88.64905419872044,87.82905419872044,1,12.967224381318319
89.3868295168894,88.56682951688941,2,38.205307329886594
90.10790223632243,89.28790223632244,3,54.23862803508623
90.78764869683255,89.96764869683255,4,39.902625261477525
92.1498298067568,91.3298298067568,1,13.861822357772262
92.88718172715345,92.06718172715345,2,38.65314648006079
93.6072113317595,92.78721133175951,3,53.32784501855073
