12:00:04.4362,10442,14.78,13
12:00:05.4384,5189,7.34,29
12:00:08.4445,5079,7.19,29
12:00:10.4892,10659,15.08,13
12:00:11.4717,5022,7.11,29
12:00:13.506,10734,15.19,13
12:00:14.5059,4882,6.91,29
12:00:16.542,10902,15.43,13
12:00:17.5286,4822,6.82,29
12:00:19.5497,11549,16.34,13
12:00:20.5352,4034,5.71,29
12:00:23.5596,3477,4.92,29
12:00:25.5848,13927,19.71,13
12:00:26.5774,3194,4.52,29
12:00:29.5859,3187,4.51,29
12:00:31.6387,14664,20.75,13
12:00:32.6143,3149,4.46,29
12:00:34.655,14864,21.03,13
12:00:35.6484,3177,4.50,29
12:00:37.6685,15049,21.29,13
12:00:38.6606,3137,4.44,29
12:00:40.6961,15182,21.48,13
12:00:41.6727,3184,4.51,29
12:00:43.7204,15584,22.05,13
12:00:44.7042,3244,4.59,29
12:00:46.7319,15734,22.26,13
12:00:47.7333,3319,4.70,29
12:00:49.8105,16012,22.66,13
12:00:50.7519,2947,4.17,29
12:00:52.7998,16262,23.01,13
12:00:53.7485,3539,5.01,29
12:00:56.7644,4009,5.67,29
12:00:59.7829,5182,7.33,29
12:01:02.8098,6329,8.96,29
12:01:03.9458,72184,102.14,50
12:01:04.8472,20854,29.51,13
12:01:05.8269,7739,10.95,29
12:01:06.9578,70584,99.88,50
12:01:09.9668,69184,97.90,50
12:01:11.8669,10527,14.90,29
12:01:16.0091,66312,93.83,50
12:01:16.9677,26812,37.94,13
12:01:17.926,13382,18.94,29
12:01:19.0508,64929,91.87,50
12:01:19.9924,28207,39.91,13
12:01:22.0574,63507,89.86,50
12:01:22.9876,29644,41.95,13
12:01:23.9675,16154,22.86,29
12:01:25.0809,62109,87.88,50
12:01:26.0245,31054,43.94,13
12:01:29.0677,32487,45.97,13
12:01:30.0354,19037,26.94,29
12:01:31.1287,59369,84.01,50
12:01:32.0851,33884,47.95,13
12:01:33.0594,20419,28.89,29
12:01:34.15,58002,82.07,50
12:01:35.1002,35344,50.01,13
12:01:36.0882,21807,30.86,29
12:01:37.1724,56662,80.18,50
12:01:43.1898,54049,76.48,50
12:01:45.1415,25804,36.51,29
12:01:48.1754,27072,38.31,29
12:01:54.1864,29384,41.58,29
12:01:55.2494,49089,69.46,50
12:01:57.2586,30579,43.27,29
12:01:58.2772,47969,67.88,50
12:02:00.2703,31704,44.86,29
12:02:03.2899,32819,46.44,29
12:02:06.3055,33842,47.89,29
12:02:09.3235,34984,49.50,29
12:02:12.3568,36072,51.04,29
12:02:15.3782,37182,52.61,29
12:02:18.4055,38082,53.89,29
12:02:19.4224,40237,56.94,50
12:02:21.4097,39287,55.59,29
12:02:22.4206,38979,55.16,50
12:02:24.4365,40332,57.07,29
12:02:28.4675,37859,53.57,50
12:02:30.4901,41629,58.91,29
12:02:33.5108,41099,58.16,29
12:02:36.5271,39659,56.12,29
12:02:39.5533,38127,53.95,29
12:02:42.5666,36532,51.69,29
12:02:45.5721,34872,49.34,29
12:02:46.603,44707,63.26,50
12:02:48.58,33184,46.96,29
12:02:51.5887,31404,44.44,29
12:02:54.6084,29854,42.24,29
12:02:55.6423,49484,70.02,50
12:02:58.683,51062,72.25,50
12:03:01.6919,52514,74.31,50
12:03:06.6748,23107,32.70,29
12:03:07.7608,55769,78.91,50
12:03:13.794,58754,83.14,50
12:03:14.7458,33337,47.17,13
12:03:16.8295,60287,85.31,50
12:03:19.8405,61782,87.42,50
12:03:20.782,30289,42.86,13
12:03:22.8475,63327,89.61,50
12:03:24.7849,14062,19.90,29
12:03:25.8756,64877,91.80,50
12:03:27.8029,12682,17.95,29
12:03:28.9116,66427,93.99,50
12:03:30.8132,11189,15.83,29
12:03:31.9267,67974,96.18,50
12:03:33.8385,9584,13.56,29
12:03:34.957,69479,98.31,50
12:03:39.8441,6809,9.63,29
12:03:42.8495,5417,7.67,29
12:03:45.8779,4097,5.80,29
12:03:47.9346,16444,23.27,13
12:03:48.8972,2692,3.81,29
12:03:50.9323,14942,21.14,13
12:03:51.9159,2084,2.95,29
12:03:54.9326,2707,3.83,29
12:03:56.9576,11849,16.77,13
12:03:57.9548,3752,5.31,29
12:04:00.9831,4762,6.74,29
12:04:03.0141,10014,14.17,13
12:04:04.0221,4909,6.95,29
12:04:06.0514,9949,14.08,13
12:04:07.0537,5019,7.10,29
12:04:09.0604,9862,13.95,13
12:04:10.0657,5169,7.31,29
12:04:13.0813,5269,7.46,29
12:04:15.0973,9007,12.74,13
12:04:16.0956,5684,8.04,29
12:04:18.1277,9052,12.81,13
12:04:21.1444,9092,12.87,13
12:04:22.1376,5659,8.01,29
12:04:24.1611,9162,12.96,13
12:04:25.1617,5587,7.91,29
12:04:27.1765,9197,13.01,13
12:04:30.2145,9344,13.22,13
12:04:31.2166,5367,7.59,29
12:04:32.3949,83372,117.97,50
12:04:33.231,9462,13.39,13
12:04:34.2336,5259,7.44,29
12:04:35.3978,83207,117.74,50
12:04:37.2437,5209,7.37,29
12:04:39.262,9642,13.64,13
12:04:40.2627,5119,7.24,29
12:04:42.2786,9712,13.74,13
12:04:43.293,5052,7.15,29
12:04:46.2843,5389,7.63,29
12:04:48.3328,9524,13.48,13
12:04:49.3333,5452,7.71,29
12:04:51.3514,9614,13.60,13
