Velocity without noise x,Velocity without noise y,Velocity with noise z,Velocity with noise y,Velocity with noise z,global time
0.0,0.0,0.0,0.12106306348732541,0.27775947395574,-0.5457585604765584,0.0
0.0,0.0,0.0,0.07188136507439356,0.09702790193758432,0.13304629019201022,0.01
0.0,0.0,0.0,-0.12246845327866207,-0.1798333728848552,0.22420065247987908,0.02
0.0,0.0,0.0,-0.29808261941656,-0.3634922897969397,-0.17021804546637492,0.03
0.0,0.0,0.0,-0.1875007645547464,-0.2077599846048631,-0.33015250402757673,0.04
0.0,0.0,0.0,0.06415533615132467,-0.3012113474845152,0.4183194091369038,0.05
0.0,0.0,0.0,-0.2521458304309718,-0.4562374876866147,0.31449784345284604,0.06
0.0,0.0,0.0,0.2789126041259253,-0.4084627679310585,-0.1614677659778251,0.07
0.0,0.0,0.0,-0.2711694623833062,-0.02646694917868743,0.03040905914905974,0.08
0.0,0.0,0.0,0.1997463275262115,-0.12095892433688285,-0.028309254598157682,0.09
0.0,0.0,0.0,0.21108025840795164,-0.08203781461545634,0.06808018256662487,0.1
0.0,0.0,0.0,-0.16712193867893044,0.08128957744233284,-0.0929000187424079,0.11
0.0,0.0,0.0,0.20227328705495906,-0.10359890167942845,0.2320704798987392,0.12
0.0,0.0,0.0,-0.2295854510840917,0.018563441467068575,0.05988342592721468,0.13
0.0,0.0,0.0,0.05122819958335634,0.22597930218029527,0.09776421324832084,0.14
0.0,0.0,0.0,-0.09331039496714333,-0.034835044031653016,0.2368592192538134,0.15
0.0,0.0,0.0,0.47037202925025573,-0.2847570655949075,-0.21116471118294886,0.16
0.0,0.0,0.0,-0.1930230762686309,0.22074942167734302,-0.22292483269350863,0.17
0.0,0.0,0.0,-0.09924527421692272,0.18861387171073918,-0.23685945122343313,0.18
0.0,0.0,0.0,-0.06687898394876493,0.17648179492472377,-0.07764761496925134,0.19
0.0,0.0,0.0,0.29778877315005886,-0.21564443125331542,-0.2686845763316288,0.2
0.0,0.0,0.0,0.14166683561099808,-0.023426631737513012,-0.17482760472816006,0.21
0.0,0.0,0.0,0.04429589187477835,-0.10753927761300937,0.059767628203857295,0.22
0.0,0.0,0.0,-0.14572475911084168,0.4587004811292012,0.27982214728079685,0.23
0.0,0.0,0.0,-0.21162756219124712,-0.4223170416804918,-0.0782613739051771,0.24
0.0,0.0,0.0,-0.19879606990201235,-0.1946208088871145,0.05075306094924668,0.25
0.0,0.0,0.0,-0.14452982626405209,-0.032054070996114646,-0.1962011397794589,0.26
0.0,0.0,0.0,-0.4778405578500306,-0.19006080838380499,-0.045006952408079996,0.27
0.0,0.0,0.0,-0.18048256560196685,-0.24876149672780393,-0.18127340921309645,0.28
0.0,0.0,0.0,-0.09700211661669156,0.027092016576953423,0.10917130775712132,0.29
0.0,0.0,0.0,-0.06627747954941507,-0.02233883092127431,0.29384858550929777,0.3
0.0,0.0,0.0,0.3843497441695292,0.05099436686615594,0.14534337994570265,0.31
0.0,0.0,0.0,0.1289972350156636,0.16757722906374292,0.12054183817359149,0.32
0.0,0.0,0.0,-0.19526510149258006,0.20733746380806176,0.09349709343894952,0.33
0.0,0.0,0.0,-0.4357340488818633,0.15236470655352063,0.044155283851194625,0.34
0.0,0.0,0.0,-0.07843329866561016,0.30617259608356634,0.3677329834815002,0.35
0.0,0.0,0.0,0.1404195776612233,-0.020198887740891902,0.09327045318229035,0.36
0.0,0.0,0.0,0.27953241108587873,0.09329164772040645,0.38488829219824455,0.37
0.0,0.0,0.0,-0.08922522042927204,0.1365272893819149,-0.0275359872826189,0.38
0.0,0.0,0.0,0.027654868991975973,-0.03927618644466116,0.02278361995038003,0.39
0.0,0.0,0.0,0.08505530306305997,-0.3314842564328805,-0.001963300389784503,0.4
0.0,0.0,0.0,-0.05142556049488495,-0.048100913281901525,0.04408539224468051,0.41
0.0,0.0,0.0,0.041820066633453994,-0.23480169771302997,-0.13412990011750486,0.42
0.0,0.0,0.0,-0.2660919958567708,-0.16760873517035046,0.07339064664500868,0.43
0.0,0.0,0.0,-0.09085735780637305,-0.09472572399141481,-0.160534422627714,0.44
0.0,0.0,0.0,-0.19362200549367248,0.10508690244800878,-0.2928579382073116,0.45
0.0,0.0,0.0,-0.2900646327789798,-0.05876586967120461,0.301771927200178,0.46
0.0,0.0,0.0,0.136728982745809,-0.11391306095686005,-0.21564277275343746,0.47
0.0,0.0,0.0,0.04807974992275533,-0.0822825079741493,0.025743690253650416,0.48
0.0,0.0,0.0,-0.16115563010403985,0.07839961907574794,-0.06107921690386601,0.49
0.0,0.0,0.0,0.289106971913178,0.13487744656364545,-0.26842527457742615,0.5
