Velocity without noise x,Velocity without noise y,Velocity without noise z,Velocity with noise x,Velocity with noise y,Velocity with noise z,global time
0.2,0.0,0.0,0.23283477300920388,0.1502906469821061,-0.11916245540575075,0.01
0.2,0.0,0.0,0.23741056413545247,-0.0011252007657474416,-0.09078856748866654,0.02
0.2,0.0,0.0,0.12144785053864765,-0.08567571317915884,-0.05775302975778666,0.03
0.2,0.0,0.0,0.27639618127336274,0.06038811484464354,-0.19673607114795827,0.04
0.2,0.0,0.0,0.6537694663869622,-0.041498970363218715,0.1967155435197464,0.05
0.2,0.0,0.0,0.07895163661937876,0.11951377002520532,-0.0026892485180093086,0.06
0.2,0.0,0.0,0.6087008255790833,0.2832371885058214,-0.15817497464544825,0.07
0.2,0.0,0.0,0.2795947054137937,0.18717422386108884,-0.3008221457772779,0.08
0.2,0.0,0.0,0.3429223136425831,0.05409397445656882,-0.3033323839340852,0.09
0.2,0.0,0.0,0.33988784451310405,-0.15108335789588942,-0.09459489472098578,0.1
0.2,0.0,0.0,0.2191771779613971,0.16810756397160884,0.22073906207551147,0.11
0.2,0.0,0.0,0.6289146344583638,0.2416930171855196,-0.36119540224320584,0.12
0.2,0.0,0.0,-0.04008703260655361,-0.3168685215785827,0.14040935770240037,0.13
0.2,0.0,0.0,0.15323171422739748,0.08184020188085339,-0.007857018220955072,0.14
0.2,0.0,0.0,0.33814377874037527,0.40993731829824487,-0.06699464208762544,0.15
0.2,0.0,0.0,0.30477587523829863,-0.08004977839583322,0.029929120263618693,0.16
0.2,0.0,0.0,0.34837195746057703,0.09598418149679457,0.025649373199740078,0.17
0.2,0.0,0.0,0.3588165988427008,0.07181390662657121,0.11157055883111333,0.18
0.2,0.0,0.0,0.07399617643048698,0.15755705555858499,0.05145822580272755,0.19
0.2,0.0,0.0,0.2949181331792009,-0.04441805671339655,-0.18492929491283516,0.2
0.2,0.0,0.0,0.08791786248975822,0.02612939966009872,0.13219235446917382,0.21
0.2,0.0,0.0,0.11713163091906081,-0.12255104542077284,-0.1517901110654376,0.22
0.2,0.0,0.0,0.09366128999680588,0.46205695127733126,-0.08813280850443239,0.23
0.2,0.0,0.0,0.5595430452561145,0.19276082576663167,-0.03779153796904515,0.24
0.2,0.0,0.0,0.17761584102625116,-0.09956008722945936,0.06418260968663497,0.25
0.2,0.0,0.0,0.13951420758767502,-0.11451188907646387,-0.4083550441646282,0.26
0.2,0.0,0.0,0.36727692582935473,-0.16412338617638722,-0.11332004501427953,0.27
0.2,0.0,0.0,0.08320412723309077,-0.09150077073174234,0.2439790079955646,0.28
0.2,0.0,0.0,0.16715544034435245,-0.143065059125232,-0.0032663812762086285,0.29
0.2,0.0,0.0,0.42417890518647583,0.03230258939261645,0.2579717362335042,0.3
0.2,0.0,0.0,0.08330026363875782,0.060745533535481705,0.17863985979443583,0.31
0.2,0.0,0.0,0.43777096620472594,-0.058518956696156046,0.37358343620253753,0.32
0.2,0.0,0.0,-0.02160858571508642,0.19105937107552945,-0.05057767327016055,0.33
0.2,0.0,0.0,0.04679025370391815,-0.009379496164179301,-0.0012975412671705879,0.34
0.2,0.0,0.0,0.3106734538451573,0.11936479753817511,0.032695138683767624,0.35
0.2,0.0,0.0,0.45785248993825706,0.10520675137327794,-0.034091182316458586,0.36
0.2,0.0,0.0,0.11531468532897417,0.1430568788545987,-0.0016601203682412406,0.37
0.2,0.0,0.0,0.14340259803445804,-0.07803195604709656,-0.044933187629502776,0.38
0.2,0.0,0.0,0.15032131187561304,-0.14629122283794457,0.4395037564739903,0.39
0.2,0.0,0.0,0.45580817243509597,-0.14266072153250672,0.3831613716399862,0.4
0.2,0.0,0.0,0.37898730309773676,0.12954438654853342,-0.32486612513725976,0.41
0.2,0.0,0.0,0.08248942507981319,-0.0586797413741798,-0.09821347936083676,0.42
0.2,0.0,0.0,0.24185127940028853,-0.18454180772689394,0.060346622072546145,0.43
0.2,0.0,0.0,0.18379459807627413,0.13432063593899948,-0.012108906865525404,0.44
0.2,0.0,0.0,0.45814655260215503,-0.21098801494462097,0.12837121315761466,0.45
0.2,0.0,0.0,0.24840604639108588,0.053190486441212506,-0.11699938865591729,0.46
0.2,0.0,0.0,-0.028509673861042195,-0.11784397848355606,-0.12667041831868375,0.47
0.2,0.0,0.0,0.11076006147356582,-0.13183879789105724,-0.17045722164608781,0.48
0.2,0.0,0.0,0.02779830335124306,-0.15083734988071176,-0.03349569827282297,0.49
0.2,0.0,0.0,-0.1511292507490749,-0.13831364641009977,0.1125878096388237,0.5
0.2,0.0,0.0,0.2399899728660376,-0.12533674569871175,-0.26615660219068327,0.51
0.2,0.0,0.0,0.46260492325102365,0.009101270166056519,-0.11165564252423588,0.52
0.2,0.0,0.0,-0.11585121367448753,-0.09618237825387738,0.07054431518941338,0.53
0.2,0.0,0.0,0.0816916709795867,-0.23829459114285215,0.2317822639001272,0.54
0.2,0.0,0.0,0.35009466799380684,0.08286450421743188,0.11157924983798302,0.55
0.2,0.0,0.0,0.23593750515405307,0.15600416435916334,0.15962480603182178,0.56
0.2,0.0,0.0,0.10357828159116685,0.08308492187481517,0.16251166676426632,0.57
0.2,0.0,0.0,0.3370453729075686,0.08532537093951628,0.2701827776339242,0.58
