Velocity without noise x,Velocity without noise y,Velocity with noise z,Velocity with noise y,Velocity with noise z,global time
0.2,0.0,0.0,0.24658360043984043,0.2346569242495411,0.08158138206110757,0.0
0.19999990000000833,0.00019999996666666834,0.0,-0.019166670366094096,0.010002626441816109,0.5398700440766507,0.01
0.19999960000013334,0.0003999997333333867,0.0,0.04319485536656176,0.49895838334797166,-0.1906610069318965,0.02
0.199999100000675,0.000599999100000405,0.0,0.14146165661246882,-0.3488011626201323,0.23888014225041815,0.03
0.19999840000213334,0.0007999978666683735,0.0,0.4014416292054278,-0.14027067801038318,0.1403053730578446,0.04
0.19999750000520833,0.0009999958333385419,0.0,0.16437589734891794,0.25050644376086456,-0.1276175569769277,0.05
0.1999964000108,0.0011999928000129602,0.0,0.4838600321450948,-0.21461263572417508,0.12591864142875667,0.06
0.1999951000200083,0.0013999885666946782,0.0,0.48984633475503986,0.10366022115526594,0.19617616756825318,0.07
0.19999360003413327,0.0015999829333879466,0.0,0.3574395160314989,0.31850816769985874,-0.03908023568654763,0.08
0.19999190005467485,0.0017999757000984149,0.0,0.18828097695500023,0.005810988529180822,-0.16410096955196546,0.09
0.19999000008333306,0.001999966666833333,0.0,0.49658623932827406,-0.5535580319262962,-0.3527086696287382,0.1
0.19998790012200784,0.0021999556336017513,0.0,0.23492445884687024,0.17335219093285287,0.25957794991905486,0.11
0.19998560017279918,0.002399942400414719,0.0,-0.20819644559630265,0.035841344976723775,0.057839612561936996,0.12
0.199983100238007,0.0025999267672854862,0.0,0.20268166625738032,-0.03525382799677475,-0.3113895235079691,0.13
0.19998040032013126,0.002799908534229703,0.0,0.6101755263072062,-0.40011990890723026,-0.014115540649889922,0.14
0.19997750042187185,0.002999887501265619,0.0,0.5281141993208891,-0.03883777425367736,0.2497226197730822,0.15
0.1999744005461287,0.0031998634684142833,0.0,0.315115286214395,-0.15883023217278455,-0.0882023688666743,0.16
0.19997110069600166,0.003399836235699746,0.0,-0.13141868438783927,-0.2510410094748163,0.1950096460419986,0.17
0.19996760087479057,0.003599805603149256,0.0,0.17686151866020983,0.20453581946364222,0.0998479723421814,0.18
0.19996390108599527,0.003799771370793464,0.0,0.22834943428123786,-0.3341892713769073,-0.17150238889417782,0.19
0.19996000133331557,0.0039997333386666166,0.0,-0.07439452262130383,0.043171909163496044,-0.0002219916853302495,0.2
0.1999559016206512,0.004199691306806765,0.0,0.16393321586275977,0.10314081993652813,0.013820513230682308,0.21
0.19995160195210185,0.004399645075255955,0.0,0.01376342057407512,-0.29259643289981263,0.2092037923371103,0.22
0.19994710233196722,0.004599594444060437,0.0,0.0817154176538644,0.2536191059304034,-0.09178832965645177,0.23
0.19994240276474692,0.004799539213270859,0.0,0.13333340291208085,-0.10151693573326304,0.007056606832152645,0.24
0.19993750325514054,0.004999479182942467,0.0,0.059610884764985134,-0.11081997544187483,0.10809559732044383,0.25
0.19993240380804755,0.005199414153135309,0.0,0.04154924590482545,-0.053593452963618095,0.21340527705727724,0.26
0.1999271044285674,0.005399343923914431,0.0,0.2406605228728465,0.30451001387797605,-0.38397884922157727,0.27
0.1999216051219995,0.005599268295350079,0.0,-0.10286650566784203,-0.39344281170396433,-0.2310578679215236,0.28
0.19991590589384312,0.005799187067517898,0.0,0.05734556772886831,-0.08535842754098813,0.11695319578335306,0.29
0.19991000674979753,0.005999100040499132,0.0,0.15319416052660126,0.1520152256273393,-0.18594238526640983,0.3
0.19990390769576183,0.006199007014380827,0.0,0.42405819283982404,-0.2787739376646632,-0.025974173437285277,0.31
0.1998976087378351,0.006398907789256024,0.0,0.312268220662561,-0.13515744924312317,-0.19622825065593172,0.32
0.1998911098823163,0.006598802165223965,0.0,-0.012688894001149087,0.18091427997638182,0.29480553538574666,0.33
0.19988441113570424,0.006798689942390291,0.0,0.4863186208000656,-0.08807821921495804,-0.12427263574255368,0.34
0.19987751250469774,0.006998570920867239,0.0,0.3978581226929341,-0.01613771870923598,0.10649795110282352,0.35
0.19987041399619537,0.007198444900773851,0.0,0.27097915699196795,-0.13916018878378272,-0.3347027776645073,0.36
0.19986311561729564,0.007398311682236161,0.0,0.5770500056178983,0.2633813176322447,-0.05245156417863518,0.37
0.199855617375297,0.007598171065387408,0.0,0.3339435295410355,0.24122492888129968,-0.0694553369972709,0.38
0.19984791927769763,0.007798022850368221,0.0,-0.07890960066486541,-0.10773351208359436,-0.10263980053024234,0.39
0.19984002133219558,0.007997866837326834,0.0,0.11162718430803775,0.350788900450944,0.09219183615779641,0.4
0.1998319235466889,0.008197702826419276,0.0,0.7351939601288489,-0.12037365990589623,-0.4027871274232453,0.41
0.19982362592927533,0.008397530617809573,0.0,0.19486532175337898,-0.16910475943512032,-0.0038902064833937046,0.42
0.19981512848825245,0.008597350011669953,0.0,-0.31506043310142307,-0.14427484312408942,-0.1945929145451197,0.43
0.19980643123211778,0.00879716080818104,0.0,0.2923492253875351,-0.37885390578060263,-0.4821343790324066,0.44
0.1997975341695685,0.008996962807532049,0.0,-0.20293830877096938,0.2618627431660696,-0.2364708531266426,0.45
0.1997884373095017,0.009196755809921001,0.0,0.2531344582838069,0.1940077552163667,-0.0503194557018,0.46
0.19977914066101424,0.00939653961555491,0.0,-0.03253064924362051,-0.10857082614642445,0.015622628056360827,0.47
0.19976964423340277,0.009596314024649987,0.0,0.08276726006326057,0.10523190924851317,-0.0977143982839801,0.48
0.1997599480361637,0.009796078837431837,0.0,-0.028650758808823562,0.03461265034398733,-0.07567365281085678,0.49
