timestamp, measured distance, true distance, distance error
1.1512464817806207,15.981126785947,15.985636527355549,1,0.004509741408549317
1.8700984152963347,28.67335817659257,28.763777082397663,2,0.0904189058050946
2.611656885032767,59.099931893875244,59.7227203184309,3,0.6227884245556581
3.307946182139403,53.82161628878812,54.39844413741378,4,0.5768278486256619
4.671131899422865,15.950530938371337,15.881877420285475,1,-0.06865351808586162
5.390342477734528,28.964080333976487,29.089034850679255,2,0.12495451670276836
6.132425548438666,60.25814250263392,60.77461563642336,3,0.5164731337894395
6.828633029600928,54.7968665351032,55.447176358049326,4,0.6503098229461273
8.191212594060838,16.086599866369813,16.06660276032793,1,-0.019997106041881096
8.91045583588321,29.248722960304686,29.048320396148036,2,-0.2004025641566507
9.652948806614786,61.15828690061463,61.33327799669345,3,0.1749910960788199
10.349187638801808,55.68059502220758,55.94213889197205,4,0.2615438697644734
11.711364340195914,16.254052392323054,16.29195325844391,1,0.0379008661208573
12.430338803166082,29.088632877636023,29.026054984967182,2,-0.06257789266884117
13.172999530091339,61.21582313203194,61.36754201366963,3,0.15171888163768443
13.869203811166646,55.8697008037027,55.9801348550879,4,0.11043405138519802
15.231278602754506,16.155701641880114,15.88075397884401,1,-0.2749476630361034
15.950608472475068,29.315807208853798,29.655836794621067,2,0.3400295857672688
16.693239600325196,61.43780197612136,61.8997184625178,3,0.46191648639644
17.389134009396347,55.837824561650095,55.74455846465572,4,-0.09326609699437682
18.750392937443582,14.938047751154565,14.430025080730886,1,-0.5080226704236797
19.471631744062716,30.66459743224102,31.217878244518495,2,0.5532808122774746
20.21373645686559,62.33246755964394,62.59655477310716,3,0.2640872134632204
20.908783351520835,55.551197510804094,55.33964316383154,4,-0.21155434697255515
22.26935803731607,13.395223556388695,13.03518410006627,1,-0.3600394563224256
22.99269473195531,32.1228434129084,32.73758559711504,2,0.6147421842066407
23.74439336184904,63.135894607990025,63.565847686924876,3,0.4299530789348509
24.428697485681695,55.299582265086336,55.220992966929984,4,-0.07858929815635207
25.788482428583304,12.143220473034926,11.79801467824567,1,-0.3452057947892566
26.51368593021412,33.61343326147848,34.15187170782714,2,0.538438446348664
27.265045923807268,64.087952814075,64.48391203754754,3,0.39595922347254486
27.94867171985323,55.01610908893014,55.243811687788245,4,0.22770259885810162
29.307882621185446,11.195431413507096,11.328597016276085,1,0.13316560276898848
30.044196596215784,34.601826586014056,34.52806669019312,2,-0.07375989582093467
30.785426270013573,64.87303798609965,64.93177116442834,3,0.05873317832869418
31.46900168216837,55.41464806278473,55.739978883802465,4,0.3253308210177366
32.828044518793526,11.430148160299769,11.558980403450512,1,0.12883224315074315
33.564226525789856,34.50749861741404,34.59581033389609,2,0.08831171648204617
34.30568353463246,65.11607427715326,65.24530891250188,3,0.12923463534862378
34.989248987811465,55.85490761056424,56.10999776697702,4,0.255090156412777
36.35817781860218,11.712313338638841,11.70387281666774,1,-0.008440521971101234
37.094273070538854,34.60853425878607,34.57615208758049,2,-0.03238217120558318
37.83584700846082,65.43141541229478,65.42361259930661,3,-0.0078028129881744235
38.51944305818478,56.277915870862465,56.25882249133217,4,-0.019093379530296772
39.878081608095776,11.651483665976475,11.338894455907662,1,-0.312589210068813
40.614596355446,34.97070949634589,35.45731863243811,2,0.4866091360922198
41.35620163385079,65.72407154974177,66.07392028403179,3,0.3498487342900205
42.03933237350935,56.24248340961138,56.089841225884484,4,-0.15264218372689697
43.39740609700264,10.399747259922439,10.476623677899724,1,0.07687641797728517
44.135270189106514,35.976423732022276,36.149226032285455,2,0.17280230026317867
44.87646023603715,66.30116793960158,66.29877456616106,3,-0.0023933734405261475
46.92735747971869,10.631017266399917,10.323300910195599,1,-0.3077163562043186
47.665186271125265,36.035851237047396,35.8787590619882,2,-0.15709217505919781
48.405978855524744,65.84699680448827,65.28905720259796,3,-0.5579396018903111
49.08858459210493,55.470354505148556,54.68425102052617,4,-0.7861034846223873
50.44684666564449,10.005641502566327,9.605193723554144,1,-0.40044777901218254
51.18504644401083,35.755078513758704,35.72983173425014,2,-0.025246779508563577
51.92502724292453,64.67756807419873,64.04317118998996,3,-0.634396884208769
52.60748818497734,53.93585522610067,53.181255746096504,4,-0.7545994800041669
53.96645275732451,9.196949412510413,9.013605218247804,1,-0.1833441942626095
54.70511088182264,35.875355870382776,35.86979931768359,2,-0.005556552699189865
55.44435711259074,63.40729829143644,63.089105720106915,3,-0.3181925713295257
56.12654877035251,52.67481539008441,51.86421732200269,4,-0.810598068081724
57.49612005542167,8.797815171451939,8.67325497201888,1,-0.12456019943305918
58.23517896362079,35.91554900416284,35.96486069461457,2,0.04931169045173078
58.97368932006523,62.56230491583224,62.1391215883607,3,-0.4231833274715413
59.6556583333817,51.30314332832098,50.534653627422514,4,-0.7684897008984635
61.01602823417663,8.634660394465836,8.672003797034852,1,0.03734340256901625
61.75517415471026,35.90364970322297,35.97003767279285,2,0.06638796956988102
62.48284830858872,61.558917644366076,61.00007129976503,3,-0.5588463446010437
63.17467264941165,49.916512035686154,49.356107122056564,4,-0.5604049136295899
64.54608748786164,8.626047174311246,8.722221416717039,1,0.09617424240579275
65.28520431862512,35.87693729286239,35.94832124446108,2,0.07138395159869049
66.01260949635974,60.9119006648742,60.80404679424569,3,-0.10785387062851015
66.7045556346157,49.3613079057376,49.006509308410386,4,-0.35479859732721053
68.06585113106608,8.351942739076302,8.435129443408512,1,0.08318670433220987
68.80550672676263,36.393455475874624,36.42855615989632,2,0.03510068402169253
69.53231522291344,60.59253579808384,60.09473621381365,3,-0.4977995842701901
70.22367411258828,48.4550014295127,47.69601782824488,4,-0.7589836012678219
71.58614056714848,8.758353291411376,8.903934665643815,1,0.14558137423243878
72.32557937080244,36.58802656178545,36.52119135039787,2,-0.06683521138757698
73.05145845598571,59.37253039156466,58.855350428725174,3,-0.5171799628394851
73.73261427541837,47.035054966258464,46.172788613081316,4,-0.862266353177148
75.10663265420455,9.461312246445125,9.590687561129496,1,0.12937531468437058
75.84574581326302,36.61360106221434,36.77439720096009,2,0.16079613874574505
76.57060868009343,58.232504371857026,57.68373324033942,3,-0.5487711315176043
77.25151517476534,45.574034499775244,44.64467901466055,4,-0.9293554851146979
78.62716353548613,10.1446524604303,10.414613298709195,1,0.2699608382788945
79.36591384213726,37.01957164917791,37.095049321846346,2,0.07547767266843408
80.08987948396135,57.15607091847339,56.722789118481074,3,-0.4332817999923151
80.77052510116017,43.99515092458312,43.191109075846796,4,-0.8040418487363254
82.14775192550391,11.043017882032093,11.279244290239417,1,0.2362264082073242
82.88621344723666,37.484590885282124,37.575329037005076,2,0.09073815172295241
83.60916641468637,56.155077280225264,55.65770803198992,3,-0.49736924823534423
84.28946269005688,42.5838870062059,41.71944690581697,4,-0.8644401003889257
85.6684252846098,11.97296535221591,12.265445114272195,1,0.2924797620562849
86.40654204759794,37.84691757206687,37.96894740151727,2,0.12202982945039764
87.12846253808658,55.093860843343215,54.65304298531096,3,-0.44081785803225415
87.8084893036989,41.16182178452784,40.3308597008516,4,-0.8309620836762406
89.18916941487485,12.99671532031257,13.326649564160117,1,0.3299342438475481
89.92691119154199,38.223523014618074,38.52148702832001,2,0.2979640137019359
90.64782146460665,54.138510579791244,53.71319370506823,3,-0.42531687472301627
91.32748115909394,39.69782925654456,38.867026931973605,4,-0.8308023245709535
92.70995836073153,14.257398572532688,14.481192881440498,1,0.22379430890780938
93.44723589068326,38.904934953210166,38.97441375246399,2,0.06947879925382239
